Тульская область,Узловская,УИК №2648,714,700,0,534,84,82,84,534,0,618,0,0,2,45,24,544,1,0,1,1
Саратовская область,Пугачевская,УИК №1440,535,552,0,333,41,178,41,333,8,366,0,0,1,63,24,268,3,4,2,1
Алтайский край,Родинская,УИК №1378,1144,1300,0,798,119,383,119,798,9,908,0,0,6,252,87,538,8,6,7,4
Кемеровская область,Тайгинская городская,УИК №920,1031,910,0,763,142,5,142,763,0,905,0,0,3,27,49,795,9,9,9,4
Тверская область,Тверь, Центральная,УИК №1048,1307,1100,0,812,24,264,24,812,8,828,0,0,13,107,34,601,35,13,9,16
Курская область,Дмитриевская,УИК №392,1487,1340,0,971,194,175,194,971,6,1159,0,0,4,106,55,983,3,4,4,0
Новосибирская область,Новосибирск, Железнодорожная,УИК №1513,2020,1900,0,1134,82,684,82,1134,9,1207,0,0,11,183,69,875,23,6,13,27
Республика Коми,Ижемская,УИК №311,493,480,0,250,50,180,50,250,6,294,0,0,2,32,32,221,1,2,2,2
Московская область,Сергиево-Посадская,УИК №2839,1321,1300,0,719,29,552,29,719,17,731,0,0,2,79,74,534,14,7,16,5
Республика Башкортостан,Кармаскалинская,УИК №2296,679,690,0,629,16,45,16,629,0,645,0,0,2,13,26,588,5,0,7,4
Воронежская область,Ольховатская,УИК №2513,508,520,0,293,115,112,115,293,1,407,0,0,1,23,17,362,2,2,0,0
Республика Дагестан,Кизилюртовская городская,УИК №727,658,675,0,619,0,56,0,619,0,619,0,0,0,31,0,563,1,0,23,1
Республика Дагестан,Чародинская,УИК №1826,124,126,0,106,6,14,6,106,0,112,0,0,0,2,0,110,0,0,0,0
Саратовская область,Саратов, Октябрьская,УИК №1891,143,151,0,49,94,8,94,49,0,143,0,0,1,3,3,135,1,0,0,0
город Санкт-Петербург,Территориальная избирательная комиссия №6,УИК №1134,2544,1700,0,1121,21,558,21,1121,9,1133,0,0,6,107,59,893,37,3,15,13
Брянская область,Клинцовская,УИК №1089,766,760,0,685,31,44,31,685,5,711,0,0,3,21,33,641,7,5,0,1
Республика Башкортостан,Федоровская,УИК №3169,461,459,0,382,42,35,42,382,0,424,0,0,2,24,5,384,2,1,4,2
Республика Коми,Сыктывкарская городская,УИК №5,308,300,0,151,10,139,10,151,0,161,0,0,1,20,34,100,2,1,2,1
Иркутская область,Ангарская,УИК №83,2191,2100,0,1196,29,875,29,1196,13,1212,0,0,9,211,87,869,14,7,4,11
Алтайский край,Рубцовская городская,УИК №492,1927,1900,0,1216,69,615,69,1216,17,1268,0,0,12,349,76,797,4,19,6,5
Иркутская область,Куйтунская,УИК №1005,1095,1060,0,487,33,540,33,487,14,506,0,0,5,67,34,390,3,1,6,0
Брянская область,Брянск, Советская,УИК №120,1595,1300,0,1097,50,153,50,1097,22,1125,0,0,14,151,68,828,34,10,13,7
Орловская область,Орел, Советская,УИК №126,1622,1450,0,1048,48,354,48,1048,18,1078,0,0,10,161,54,770,33,14,16,20
Республика Бурятия,Улан-Удэ, Октябрьская,УИК №751,1579,1500,0,1171,50,279,50,1171,21,1200,0,0,8,245,50,814,37,8,9,29
Кемеровская область,Топкинская,УИК №1493,1425,1400,0,1132,36,232,36,1132,4,1164,0,0,6,25,29,1072,7,8,8,9
Амурская область,Зейского района,УИК №2315,97,100,0,36,9,55,9,36,0,45,0,0,0,3,2,40,0,0,0,0
город Санкт-Петербург,Территориальная избирательная комиссия №23,УИК №2096,1779,1500,0,1128,29,343,29,1121,12,1138,0,0,15,102,58,883,33,6,17,24
Республика Башкортостан,Зианчуринская,УИК №1955,64,70,0,59,0,11,0,59,0,59,0,0,0,2,1,56,0,0,0,0
Курская область,Курск, Центральная,УИК №104,2059,1400,0,1240,42,118,42,1240,11,1271,0,0,14,131,70,1010,23,8,8,7
Тюменская область,Тюменская,УИК №1928,556,558,0,523,11,24,11,523,0,534,0,0,3,32,31,457,5,5,0,1
Ленинградская область,Приозерская,УИК №778,1716,1500,0,1100,102,298,102,1100,19,1183,0,0,11,101,67,966,10,7,8,13
Ставропольский край,Труновская,УИК №1190,435,415,0,256,115,44,115,256,1,370,0,0,0,26,10,328,5,1,0,0
Челябинская область,Челябинск, Ленинская,УИК №2036,1920,1800,0,1181,53,566,53,1179,8,1224,0,0,5,114,99,934,21,13,10,28
